,opening time,closing time,drift rate,result,trade duration (min)
241,2021-04-13 23:35:00,2021-04-14 00:05:00,58.309518948453004,profit,30.0
268,2021-04-27 21:35:00,2021-04-27 21:50:00,52.20153254455275,profit,15.0
267,2021-04-27 10:10:00,2021-04-27 11:05:00,74.33034373659252,profit,55.0
242,2021-04-14 04:30:00,2021-04-14 04:45:00,52.20153254455275,profit,15.0
265,2021-04-26 10:50:00,2021-04-26 11:15:00,55.90169943749474,profit,25.0
264,2021-04-26 06:35:00,2021-04-26 07:00:00,55.90169943749474,profit,25.0
261,2021-04-24 14:55:00,2021-04-24 15:05:00,50.99019513592785,profit,10.0
259,2021-04-23 23:05:00,2021-04-23 23:45:00,64.03124237432849,profit,40.0
258,2021-04-23 19:30:00,2021-04-23 19:50:00,53.85164807134504,profit,20.0
246,2021-04-17 03:30:00,2021-04-17 03:45:00,52.20153254455275,profit,15.0
247,2021-04-17 14:40:00,2021-04-17 15:05:00,55.90169943749474,profit,25.0
248,2021-04-18 02:40:00,2021-04-18 02:45:00,50.24937810560445,profit,5.0
249,2021-04-19 06:15:00,2021-04-19 07:00:00,67.26812023536856,profit,45.0
253,2021-04-21 18:00:00,2021-04-21 18:25:00,55.90169943749474,profit,25.0
252,2021-04-21 07:30:00,2021-04-21 08:05:00,61.032778078668514,profit,35.0
283,2021-05-04 15:55:00,2021-05-04 16:00:00,50.24937810560445,profit,5.0
322,2021-05-20 17:05:00,2021-05-20 17:10:00,50.24937810560445,profit,5.0
284,2021-05-04 23:20:00,2021-05-04 23:25:00,50.24937810560445,profit,5.0
289,2021-05-06 07:30:00,2021-05-06 08:05:00,61.032778078668514,profit,35.0
216,2021-03-30 11:30:00,2021-03-30 12:00:00,58.309518948453004,profit,30.0
217,2021-03-30 16:50:00,2021-03-30 18:10:00,94.33981132056604,profit,80.0
318,2021-05-19 11:20:00,2021-05-19 11:25:00,50.24937810560445,profit,5.0
317,2021-05-18 18:05:00,2021-05-18 18:20:00,52.20153254455275,profit,15.0
316,2021-05-17 17:25:00,2021-05-17 17:30:00,50.24937810560445,profit,5.0
315,2021-05-17 15:50:00,2021-05-17 16:00:00,50.99019513592785,profit,10.0
218,2021-03-31 04:50:00,2021-03-31 06:25:00,107.35455276791944,profit,95.0
313,2021-05-16 09:20:00,2021-05-16 09:45:00,55.90169943749474,profit,25.0
311,2021-05-15 18:05:00,2021-05-15 18:10:00,50.24937810560445,profit,5.0
310,2021-05-15 06:15:00,2021-05-15 06:25:00,50.99019513592785,profit,10.0
309,2021-05-14 01:55:00,2021-05-14 02:10:00,52.20153254455275,profit,15.0
221,2021-04-03 07:00:00,2021-04-03 08:15:00,90.13878188659973,profit,75.0
306,2021-05-12 16:35:00,2021-05-12 16:40:00,50.24937810560445,profit,5.0
303,2021-05-11 17:20:00,2021-05-11 17:30:00,50.99019513592785,profit,10.0
301,2021-05-11 02:50:00,2021-05-11 02:55:00,50.24937810560445,profit,5.0
300,2021-05-10 23:25:00,2021-05-10 23:30:00,50.24937810560445,profit,5.0
299,2021-05-10 19:25:00,2021-05-10 19:40:00,52.20153254455275,profit,15.0
298,2021-05-10 01:00:00,2021-05-10 02:55:00,125.39936203984452,profit,115.0
297,2021-05-09 19:20:00,2021-05-09 19:30:00,50.99019513592785,profit,10.0
225,2021-04-07 12:05:00,2021-04-07 12:15:00,50.99019513592785,profit,10.0
226,2021-04-07 17:10:00,2021-04-07 17:25:00,52.20153254455275,profit,15.0
294,2021-05-08 14:25:00,2021-05-08 14:40:00,52.20153254455275,profit,15.0
293,2021-05-07 20:05:00,2021-05-07 20:10:00,50.24937810560445,profit,5.0
227,2021-04-08 18:20:00,2021-04-08 18:35:00,52.20153254455275,profit,15.0
228,2021-04-09 03:30:00,2021-04-09 05:05:00,107.35455276791944,profit,95.0
230,2021-04-10 10:15:00,2021-04-10 10:30:00,52.20153254455275,profit,15.0
551,2021-09-02 10:15:00,2021-09-02 10:35:00,53.85164807134504,profit,20.0
399,2021-06-27 06:55:00,2021-06-27 07:05:00,50.99019513592785,profit,10.0
174,2021-03-10 19:10:00,2021-03-10 19:15:00,50.24937810560445,profit,5.0
129,2021-02-23 08:45:00,2021-02-23 08:50:00,50.24937810560445,profit,5.0
130,2021-02-23 11:35:00,2021-02-23 11:40:00,50.24937810560445,profit,5.0
504,2021-08-12 10:35:00,2021-08-12 11:20:00,67.26812023536856,profit,45.0
503,2021-08-12 04:30:00,2021-08-12 05:10:00,64.03124237432849,profit,40.0
502,2021-08-11 07:55:00,2021-08-11 08:05:00,50.99019513592785,profit,10.0
501,2021-08-11 04:50:00,2021-08-11 05:50:00,78.10249675906654,profit,60.0
499,2021-08-09 18:05:00,2021-08-09 18:35:00,58.309518948453004,profit,30.0
132,2021-02-23 19:35:00,2021-02-23 19:40:00,50.24937810560445,profit,5.0
134,2021-02-24 12:15:00,2021-02-24 12:25:00,50.99019513592785,profit,10.0
136,2021-02-24 21:10:00,2021-02-24 21:15:00,50.24937810560445,profit,5.0
493,2021-08-07 09:20:00,2021-08-07 10:10:00,70.71067811865476,profit,50.0
492,2021-08-07 03:50:00,2021-08-07 04:15:00,55.90169943749474,profit,25.0
490,2021-08-06 12:50:00,2021-08-06 13:25:00,61.032778078668514,profit,35.0
489,2021-08-06 06:10:00,2021-08-06 06:15:00,50.24937810560445,profit,5.0
138,2021-02-25 20:00:00,2021-02-25 20:05:00,50.24937810560445,profit,5.0
487,2021-08-05 13:10:00,2021-08-05 13:15:00,50.24937810560445,profit,5.0
139,2021-02-26 01:50:00,2021-02-26 01:55:00,50.24937810560445,profit,5.0
140,2021-02-27 06:25:00,2021-02-27 06:40:00,52.20153254455275,profit,15.0
484,2021-08-04 16:00:00,2021-08-04 16:15:00,52.20153254455275,profit,15.0
482,2021-08-03 19:55:00,2021-08-03 20:00:00,50.24937810560445,profit,5.0
481,2021-08-03 08:05:00,2021-08-03 08:20:00,52.20153254455275,profit,15.0
142,2021-02-28 05:45:00,2021-02-28 05:50:00,50.24937810560445,profit,5.0
477,2021-08-02 00:55:00,2021-08-02 01:05:00,50.99019513592785,profit,10.0
476,2021-08-01 21:40:00,2021-08-01 21:45:00,50.24937810560445,profit,5.0
475,2021-08-01 14:15:00,2021-08-01 14:50:00,61.032778078668514,profit,35.0
